Elapsed_Time_s,Gaze_X_Left,Gaze_Y_Left,Gaze_X_Right,Gaze_Y_Right,Gaze_X_Average,Gaze_Y_Average,Pupil_Diameter_Left,Pupil_Diameter_Right,Validity_Left,Validity_Right,Looking_At_Interviewer,Eye_Movement_Type
6.963,0.5210314393043518,0.4064614772796631,0.49938684701919556,0.36190611124038696,0.5102091431617737,0.384183794260025,2.6826934814453125,2.9319610595703125,1,1,False,Fixation
6.980,0.5182483196258545,0.3987225890159607,0.496364027261734,0.35739564895629883,0.5073061734437943,0.37805911898612976,2.672332763671875,2.9380950927734375,1,1,False,Fixation
6.996,0.521178126335144,0.39648377895355225,0.496084988117218,0.35530275106430054,0.508631557226181,0.3758932650089264,2.6730499267578125,2.945465087890625,1,1,False,Fixation
7.013,0.5286049842834473,0.4016677141189575,0.4972480535507202,0.35845497250556946,0.5129265189170837,0.3800613433122635,2.6862945556640625,2.960296630859375,1,1,False,Fixation
7.030,0.5248745679855347,0.4078771471977234,0.4995008707046509,0.3599099814891815,0.5121877193450928,0.38389356434345245,2.6939697265625,2.9651031494140625,1,1,False,Fixation
7.046,0.5244330763816833,0.4159262478351593,0.4998933970928192,0.35860636830329895,0.5121632367372513,0.3872663080692291,2.6952362060546875,2.9638519287109375,1,1,False,Fixation
7.063,0.5226713418960571,0.40344756841659546,0.4913981854915619,0.3575136661529541,0.5070347636938095,0.3804806172847748,2.6790771484375,2.9588165283203125,1,1,False,Fixation
7.080,0.5214427709579468,0.40564820170402527,0.4979690909385681,0.3710936903953552,0.5097059309482574,0.38837094604969025,2.6804046630859375,2.9796905517578125,1,1,False,Fixation
7.096,0.5239828824996948,0.4031434655189514,0.4975223243236542,0.3639909327030182,0.5107526034116745,0.3835671991109848,2.6942901611328125,2.972747802734375,1,1,False,Fixation
7.113,0.5236572027206421,0.412831574678421,0.49618664383888245,0.3679859936237335,0.5099219232797623,0.39040878415107727,2.6966552734375,2.9706878662109375,1,1,False,Fixation
7.130,0.5251392722129822,0.4168674349784851,0.4975966811180115,0.3707754909992218,0.5113679766654968,0.39382146298885345,2.7035675048828125,2.9838104248046875,1,1,False,Fixation
7.146,0.5251327157020569,0.41897621750831604,0.4965429902076721,0.3675386905670166,0.5108378529548645,0.3932574540376663,2.6876678466796875,2.979705810546875,1,1,False,Fixation
7.163,0.5209547877311707,0.42038387060165405,0.4936785399913788,0.36120182275772095,0.5073166638612747,0.3907928466796875,2.697296142578125,2.9783935546875,1,1,False,Fixation
7.180,0.5202997922897339,0.4217750132083893,0.4904467761516571,0.3649899959564209,0.5053732842206955,0.3933825045824051,2.7012786865234375,2.985809326171875,1,1,False,Fixation
7.196,0.5181325078010559,0.4207075238227844,0.4944397509098053,0.3546921908855438,0.5062861293554306,0.3876998573541641,2.6991729736328125,2.9819488525390625,1,1,False,Fixation
7.213,0.5168882608413696,0.41294369101524353,0.49743378162384033,0.3547736406326294,0.507161021232605,0.38385866582393646,2.7020263671875,2.989990234375,1,1,False,Fixation
